key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-389728314,Exploring the Resilience Park Index from the Perspective of Flood and Wind Disasters,2022,5,,SUSTAINABILITY,2071-1050,14,9,,"Pan, HZ and Ou, SJ and Hsu, CY",,,,,"At present, various climate disasters, global warming and other problems feed off of one another. Natural disasters such as earthquakes, typhoons, flooding, and drought as well as human-made disasters such as petrochemical plant safety accidents and steam explosion accidents pose a threat to and affect the development of cities. Therefore, scholars, scientists, and urban planners must study and discuss disasters, so as to work toward important concepts such as resilient cities, resilient landscapes, and disaster prevention parks. This study discusses the resilience park from the perspective of the resilient city. Since the harm caused by natural disasters to parks is mainly due to flooding and high winds, this study focuses on the prevention and control of flood and wind damage. This study is an attempt to explore the indicators of resilience of parks in the context of flood and wind damage, calculate the indicator weight of resilience parks, and establish an indicator evaluation system for resilience parks. The research methods of this study are the Fuzzy Delphi method and the network analysis program method. The results show that the indicators of a resilience park under flood disaster are different types of soil drainage capacity grade (0.199), the lawn to permeable ratio (0.248), the permeable pavement grade (0.125), and the degradation basin grade (0.177). The indicators of a resilience park under high winds are the wind resistance grade of tree species (0.064), the multilayer planting configuration grade (0.053), the tree height and wind resistance grade (0.066), and the bearing capacity grade of trunk and root system (0.067). The weight of each index is calculated. Finally, the park toughness index evaluation system is established. Through this study, we hope to put forward reconstruction suggestions for different parks and provide the evaluation criteria of park toughness so as to improve the disaster resistance of parks.","RAYYAN-INCLUSION: {""Xuhui""=>""Included""} | RAYYAN-LABELS: m:index,landscape,resilience | USER-NOTES: {""Xuhui""=>[""raise an indice system to evaluate resilience of park\n- different types of soil drainage capacity grade (0.199), \n- the lawn to permeable ratio (0.248)\n- the permeable pavement grade (0.125)\n- the degradation basin grade (0.177)\n- the wind resistance grade of tree species (0.064), \n- the multilayer planting configuration grade (0.053), \n- the tree height and wind resistance grade (0.066), \n- the bearing capacity grade of trunk and root system (0.067)."", ""方法：指标法\n描述：构建一套指标体系，对目标对象进行评估\n目的：建立指标体系，评估resilience""]}",10.3390/su14095560,Disasters,,
rayyan-389728315,Will river floods 'tip' European road networks? A robustness assessment,2022,7,,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,1361-9209,108,,,"van Ginkel, KCH and Koks, EE and de Groen, F and Nguyen, VD and Alfieri, L",,,,,"River flooding is a profound climate hazard in Europe and a threat to its road transport infrastructure. However, its impact on road network interruptions is mostly unexplored, while some have suggested that national road networks may experience tipping points. This study assesses the robustness of road networks of European countries and their potential for a tipping point: an abrupt and disproportionally large loss of network functionality, due to unfavourable combinations of floods. Methodologically inspired by percolation analysis, ten-thousands of flood combinations are sampled and their impacts on road network performance are assessed. The results show that Albania, Croatia, Serbia and Austria are relatively vulnerable, whereas Belgium, Estonia, Lithuania and Portugal are relatively robust. Tipping points in the sense of nationwide network fragmentation seem unlikely, but regional-scale tipping points can happen. Flood proofing the identified weak spots could result in quick wins for national road operators.","RAYYAN-INCLUSION: {""Xuhui""=>""Included""} | RAYYAN-LABELS: road,network,robustness,m:network metrics | USER-NOTES: {""Xuhui""=>[""use percolation analysis to find the tippng point of how flood affects road"", ""方法：网络指标\n描述：构建一套自己的网络指标法，1-preferred routedisruption 2-isolated trips 3-travel time，对网络特性进行评估\n目的：找网络崩溃临界点""]}",10.1016/j.trd.2022.103332,"",,
rayyan-389728316,Spatio-temporal graph convolutional networks for road network inundation status prediction during urban flooding,2022,10,1,"Computers, Environment and Urban Systems",0198-9715,97,,,"Yuan, FX and Xu, YC and Li, QC and Mostafavi, A",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136260045&doi=10.1016%2fj.compenvurbsys.2022.101870&partnerID=40&md5=63569cbcab8a0fecd6a007c52edbf400,,,,"The objective of this study is to predict the near-future flooding status of road segments based on their own and adjacent road segments' current status through the use of deep learning framework on fine-grained traffic data. Predictive flood monitoring for situational awareness of road network status plays a critical role to support crisis response activities such as evaluation of the loss of access to hospitals and shelters. Existing studies related to near-future prediction of road network flooding status at road segment level are missing. Using fine-grained traffic speed data related to road sections, this study designed and implemented three spatio-temporal graph convolutional network (STGCN) models to predict road network status during flood events at the road segment level in the context of the 2017 hurricane Harvey in Harris County (Texas, USA). Model 1 consists of two spatio-temporal blocks considering the adjacency and distance between road segments, while model 2 contains an additional elevation block to account for elevation difference between road segments. Model 3 includes three blocks for considering the adjacency and the product of distance and elevation difference between road seg-ments. The analysis tested the STGCN models and evaluated their prediction performance. Our results indicated that model 1 and model 2 have reliable and accurate performance for predicting road network flooding status in near future (e.g., 2???4 h) with model precision and recall values larger than 98% and 96%, respectively. With reliable road network status predictions in floods, the proposed model can benefit affected communities to avoid flooded roads and the emergency management agencies to implement evacuation and relief resource delivery plans     <comment>Superscript/Subscript Available</comment","<p>Export Date: 16 November 2022</p>
<p>Export Date: 16 November 2022</p>
<p>Export Date: 21 November 2022</p> | RAYYAN-INCLUSION: {""Xuhui""=>""Included""} | RAYYAN-LABELS: road,m:GNN,impact,prediction | USER-NOTES: {""Xuhui""=>[""use GNN to predict road status (based on speed) affected by flood"", ""方法：GNN\n描述：基于节点的高度、距离差异，对每个道路上的速度进行预测\n目的：预测道路状态""]}",10.1016/j.compenvurbsys.2022.101870,artificial neural network;Convolution;Convolutional networks;Critical infrastructure;Deep learning;Fine grained;flooding;Floodings;Floods;Forecasting;Harris County [Texas];hurricane;learning;Network status;Risk management;Road network;Road segments;Roads and streets;Smart flood resilience;Spatio-temporal graph convolutional network;Spatio-temporal graphs;spatiotemporal analysis;STGCN;Texas;United States;urban area;Urban flooding,,
rayyan-389728317,Enhancing the resilience of road networks to flooding,2022,,,INTERNATIONAL JOURNAL OF BUILDING PATHOLOGY AND ADAPTATION,2398-4708,,,,"Xu, WP and Zhang, Y and Proverbs, D and Zhong, Z",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134053733&doi=10.1108%2fIJBPA-09-2021-0120&partnerID=40&md5=cb25c6208db9bbb4ab72d5e1b9ce3c53,,,,"Purpose: This paper aims to clarify the resistance degree of group road logistics to flood disaster resilience. The paper measures the resilience of group road logistics by establishing network structure model. The purpose of this study is to improve the resilience of road log. Design/methodology/approach: This paper adopts Delphi method to collect data, interviews mainly flood management experts and supply chain risk management experts, and then analyzes the data through the network structure model combined with interpretative structure model (ISM) and analytical network process (ANP). Findings: The results show that flood frequency and drainage systems are the main factors affecting the resilience of road transport logistics in urban areas. These research results provide useful guidance for the effective planning and design of urban road construction and infrastructure. Research limitations/implications: However, the main factors affecting the resilience of road transport logistics are likely to change with the development of factors such as climate, economy and environment. Therefore, in future work, the authors' research will focus on the further application of this evaluation method. Practical implications: The results show that the impact of flooding on the four dimensions of road logistics resilience varies. This shows that in deciding what intervention measures are to be taken to improve the resilience of the road network to flooding, various measures need to be considered. Social implications: This paper provides a more scientific analysis of the risk management ability of the road network in the face of floods. In addition, it also provides a useful reference for urban road planners. Originality/value: This paper addresses a clear need to study how to build models to improve the resilience of road logistics in flood risk. © 2022, Emerald Publishing Limited.","<p>Export Date: 16 November 2022</p>
<p>Export Date: 16 November 2022</p>
<p>Export Date: 21 November 2022</p>
<p>Export Date: 21 November 2022</p>
<p>Export Date: 21 November 2022</p> | RAYYAN-INCLUSION: {""Xuhui""=>""Included""} | RAYYAN-LABELS: road,m:index,resilience | USER-NOTES: {""Xuhui""=>[""raise an index framework to analyze the relationship between the factors affecting the resilience of road networks exposed to flooding\n\nDirect factors were found to include \n- flood frequency (S1),\n- topographic factors (S2), \n- road grade (S4), \n- road drainage system (S5), \n- road network density (S7), \n- road node mobility (S8), \n- human factors (S10). \n\nIndirect factors included \n- surface infiltration capacity (s3) \n- roadbed protection (S6)\n\nbasic factors included \n- road area (S9)\n- economic factors (S11)\n- public management factors (S12).\n"", ""方法：指标法\n描述：找出一系列指标（道路弹性的影响因子）\n目的：基于不同影响因子的结果，采取不同措施""]}",10.1108/IJBPA-09-2021-0120,Climate change;Flood control;Flooding;Floodings;Floods;Highway administration;Highway planning;Information management;Interpretative structure model-analytical network process model;Interpretative structure modeling;ISM-ANP model;Network process;Process-models;Resilience;Risk analysis;Risk assessment;Risk management;Road network;Road transport logistic;Road transport logistics;Road transports;Roads and streets;Supply chain management;Supply chains;Transport logistics;Urban planning;Urban transportation,,
rayyan-389728318,Probabilistic modeling of cascading failure risk in interdependent channel and road networks in urban flooding,2020,11,1,SUSTAINABLE CITIES AND SOCIETY,2210-6707,62,,,"Dong, SJ and Yu, TB and Farahmand, H and Mostafavi, A",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088243509&doi=10.1016%2fj.scs.2020.102398&partnerID=40&md5=9eeae161b1a97ac62afd26ef907a1a14,,,,"This paper presents a probabilistic model for assessing risk of cascading failures in co-located road and channel networks. The proposed Bayesian network analysis framework integrates network structural properties and empirical flood propagation data to model the spread of flooding. The model was tested in a multiple watershed scenario in Harris County, Texas (USA), using historical flood data from past events. The results show the capability of the proposed Bayesian network model to quantitatively characterize the failure (i.e., inundation) of road network considering the cascading failure (i.e., overflow) from the channel network. The proposed model also enables simulating the risk of flood cascades (i.e., flood propagation) on the road network with high accuracy. The generic design of the algorithm also enables the adaptation of the proposed framework in other cities and regions. Accordingly, the proposed model provides a new tool to help decision-makers prioritize infrastructure protection plans and emergency response actions. © 2020 Elsevier Ltd","<p>Export Date: 16 November 2022</p>
<p>Export Date: 16 November 2022</p>
<p>Export Date: 21 November 2022</p> | RAYYAN-INCLUSION: {""Xuhui""=>""Included""} | RAYYAN-LABELS: road,prediction,flood model,m:Bayesian network model | USER-NOTES: {""Xuhui""=>[""The model enables simulating the risk of flood cascades (i.e., flood propagation) on the road network with high accuracy"", ""方法：Bayesian network model\n描述：通过使用网络结构数据和洪水扩展数据，对模型进行训练，预测洪水对于道路故障的可能性\n目的：对于可能发生洪水的地方进行预警""]}",10.1016/j.scs.2020.102398,"Bayesian network modeling;Bayesian network models;Bayesian networks;Cascading failure;Cascading failures;Co-located channel-road network;Data flow analysis;Decision makers;Decision making;Emergency response;Failure (mechanical);Flood propagation;Floods;Historical floods;Infrastructure protection;Motor transportation;Probabilistic flood risk assessment;Probabilistic modeling;Risk assessment;Roads and streets;Urban resilience;Models, Statistical",,
rayyan-389728319,"Measuring the dynamic evolution of road network vulnerability to floods: A case study of Wuhan, China",2021,4,1,TRAVEL BEHAVIOUR AND SOCIETY,2214-367X,23,,13-24,"Liu, J and Shi, ZW and Tan, XY",,,,,"This study provides a new methodology to uncover the topology and dynamic evolution of road network vulnerability, and understand the interacted effects of the traffic conditions and the users/passengers' traveling behaviors on it. In this paper, by using a data set included the traffic flows during the morning peak period (07:00 a.m. to 09:00 a.m.) in the normal state and the flood-hit state, we simulated and compared the dynamic characterisitics of the normal traffic condition with that of the flood-hit traffic condition. We identified and visualized 51 flood-prone areas to predict the geographical distribution of hot spots in the road network to floods. We built a conceptual framework to define and measure the vulnerability as a function of exposure and importance. We measured and mapped the flood-prone areas' vulnerability scores in the normal state and the flood-hit state, respectively, and used statistical analysis to compare their dynamic characteristics. We investigated the influence of the traffic conditions and the users/passengers' traveling behaviors on the dynamic evolution of road network vulnerability. Our findings helped transport planners and decision-makers better derive the dynamic evolution of road network vulnerability affected by the users/passengers' traveling behaviors, and they can also be used to guide the users/passengers to choose the optimum routes for improving the overall performance of the road network effectively when a flood occurs.","RAYYAN-INCLUSION: {""Xuhui""=>""Included""} | RAYYAN-LABELS: road,network,commuter,resilience,vulnerability,m:network metrics | USER-NOTES: {""Xuhui""=>[""create a framework to reveal the influence of the traffic conditions and the users/passengers' traveling behaviors on the dynamic evolution of road network vulnerability."", ""方法：网络指标\n描述：使用现实数据（没洪水和有洪水时候的交通状态）对网络的曝光率（网络连通性）和重要性（常规状态下的交通流量）进行计算，并基于时间序列，描述不同数值的演化情况。\n目的：对道路脆弱性的地方进行空间和时间的识别。道路vulnerability如何变化。乘客行为如何影响道路。推荐""]}",10.1016/j.tbs.2020.10.009,China,,
rayyan-389728320,Quantifying Road-Network Robustness toward Flood-Resilient Transportation Systems,2021,3,1,Sustainability (Switzerland),2071-1050,13,6,,"Tachaudomdach, S and Upayokin, A and Kronprasert, N and Arunotayanun, K",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103120459&doi=10.3390%2fsu13063172&partnerID=40&md5=0644cff72b56b8cf4b8a00e967ea5de8,,,,"Amidst sudden and unprecedented increases in the severity and frequency of cli-mate-change-induced natural disasters, building critical infrastructure resilience has become a prominent policy issue globally for reducing disaster risks. Sustainable measures and procedures to strengthen preparedness, response, and recovery of infrastructures are urgently needed, but the standard for measuring such resilient elements has yet to be consensually developed. This study was undertaken with an aim to quantitatively measure transportation infrastructure robustness, a proactive dimension of resilience capacities and capabilities to withstand disasters; in this case, floods. A four-stage analytical framework was empirically implemented: 1) specifying the system and disturbance (i.e., road network and flood risks in Chiang Mai, Thailand), 2) illustrating the system response using the damaged area as a function of floodwater levels and protection measures, 3) determining recovery thresholds based on land use and system functionality, and 4) quantifying robustness through the application of edge-and node-betweenness centrality models. Various quantifiable indicators of transportation robustness can be revealed; not only flood-damaged areas commonly considered in flood-risk management and spatial planning, but also the numbers of affected traffic links, nodes, and cars are highly valuable for transportation planning in achieving sustainable flood-resilient transportation systems. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","<p>Export Date: 16 November 2022</p>
<p>Export Date: 16 November 2022</p>
<p>Export Date: 21 November 2022</p>
<p>Export Date: 21 November 2022</p> | RAYYAN-INCLUSION: {""Xuhui""=>""Included""} | RAYYAN-LABELS: road,network,robustness,m:network metrics | USER-NOTES: {""Xuhui""=>[""this paper raises a framework:\n1) specifying the system and disturbance (i.e., road network and flood risks), \n2) illustrating the system response using the damaged area as a function of floodwater levels and protection measures, \n3) determining recovery thresholds based on land use and system functionality\n4) quantifying robustness through the application of edge-and-node-betweenness centrality models."", ""方法：基础网络指标\n描述：通过用地，人口，食物，电力等定义了一下恢复阶段。然后用中心性的度量，确定每根路的重要性。直接把这个数据当成是需要快速派人去应对的指标。\n目的：直接用这个数据来标识网络的robustness\n\n太差劲了这文章""]}",10.3390/su13063172,analytical framework;Betweenness cen-trality;Chiang Mai [Northern Region];disaster management;Disaster-risk reduction;flood;flood control;flood damage;Flood-risk assessment;Humanitarian logistics;Natural disasters;Northern Region [Thailand];quantitative analysis;resilience;risk assessment;road;road transport;Road-network robustness;spatial planning;sustainability;Thailand;Transportation infra-structure;transportation infrastructure;transportation planning;Transportation resilience;transportation system;Travel demand,,
rayyan-389728321,"A hybrid method for evaluating the resilience of urban road traffic network under flood disaster: An example of Nanjing, China",2022,6,,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,0944-1344,29,30,46306-46324,"Li, DZ and Zhu, XW and Huang, GY and Feng, HB and Zhu, SY and Li, X",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124761272&doi=10.1007%2fs11356-022-19142-w&partnerID=40&md5=22a6e64d583ea13f165533244cd382bd,,,,"Urban road traffic network (URTN) plays an important role in city operation, while it is also suffered a lot from the urban flood disasters which caused negative impacts frequently, like traffic congestion, and road collapse. The function loss of URTN not only destroy normal urban life and work order, but also pose a serious threat to people’s lives and properties. Therefore, it is urgent to quantitatively explore the flood resilience of URTN. The concept of resilience puts forward new ideas to help solve the problem of urban flooding disasters from a holistic view. Exploring the flood resilience of urban traffic network may help to mitigate urban flooding and improve the urban resilience. This paper developed a flood resilience evaluation model of URTN, which contains 26 indicators based on the 4R theory. A case study was conducted in southern China to validate the model with real data. It evaluated the urban flood resilience of road traffic network with a comparison of before and after reconstruction of the pipeline. The results demonstrated that the flood resilience of URTN is at a relatively low level in the study area, and the limitation of single traditional engineering measure to the flood resilience of URTN. Suggestions such as strengthening the citizen participation and enhancing the complementary capability of multiple engineering measures are proposed to further promote the flood resilience of the URTN. © 2022, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.","<p>Export Date: 16 November 2022</p>
<p>Export Date: 16 November 2022</p>
<p>Export Date: 21 November 2022</p> | RAYYAN-INCLUSION: {""Xuhui""=>""Included""} | RAYYAN-LABELS: road,m:index,resilience | USER-NOTES: {""Xuhui""=>[""This paper developed a flood resilience evaluation model of URTN, which contains 26 indicators based on the 4R theory."", ""方法：指标法\n描述：通过26个指标，评估道路网络的resilience\n目的：用指标评估resilience\n\n指标\nrobustness\n- flood depth\n- flood area\n- road network density\n- road drainage planning\n- rainwater mouth design\n- vertical urban planning\nRapidity\n- flood duration\n- rainfall intensity\n- impermeable ratio\n- urban green rate\n- drainage system design\n- drainage system maintenance\nResourcesfulness\n- emergency management plan\n- interdepartmental collocation\n- disaster prediction and early warning\n- laws and regulations\n- flood control technology support\n- government command and control\n- emergency disaster preparedness\n- information reporting process\nRedundancy\n- financial funds\n- emergency managment materials\n- society assistance\n- military forces\n- volunteer\n- other modes of transportation""]}",10.1007/s11356-022-19142-w,4R theory;China;Cities;city;disaster;Disasters;engineering;flooding;Floods;human;Humans;Nanjing [Jiangsu];reconstruction;resilience;road traffic;SWMM model;traffic congestion;Urban flood resilience;Urban road traffic network (URTN),,
rayyan-389728322,Vulnerability patterns of road network to extreme floods based on accessibility measures,2021,11,1,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,1361-9209,100,,,"Papilloud, T and Keiler, M",,,,,"Accessibility is a key measure of the vulnerability of road networks to disruptions such as floods. However, studies comparing the contribution of parameters to the accuracy of accessibility-based vulnerability assessment are lacking. We propose modifying two accessibility measures to include flood-affected populations, opportunities, and average shortest travel time. We also applied three methods including the divergent ranking method to identify the direct impact of extreme floods on road networks. The shortest travel time pathway calculation was enhanced with the inclusion of spatially distributed settlements as an input. The results indicate a strong relationship between parameter weights and the accessibility measures, irrespective of the evaluated approaches. The results of the study highlight that measures of overall vulnerability, with respect to inter comparisons of flood scenarios alone, do not fully capture the local vulnerability of some traffic zones. This is particularly evident with the flooding of highly connected roads that serve these zones.","<p>Export Date: 16 November 2022</p>
<p>Export Date: 16 November 2022</p> | RAYYAN-INCLUSION: {""Xuhui""=>""Included""} | RAYYAN-LABELS: road,impact,network,vulnerability,m:network metrics | USER-NOTES: {""Xuhui""=>[""- use accessibility to measture the vulnerability of networks.\n- accessibility includes flood-affected populations, oppotunities and averageshortest travel time\n- raise a method to method direct impact"", ""方法：基础网络指标\n描述：提出三种不同的洪水影响指标（会被影响的道路/总道路，全体中介度，平均中介度）。然后对交通网络空间进行可达性计算，加入新两种参数（平均最短出行时间和机会成本）。\n目的：用以上这些数，找到道路vulnerability""]}",10.1016/j.trd.2021.103045,accessibility;Accessibility measures;Accessibility-based vulnerability;Average short travel time path;Average shortest travel time path;Divergents;extreme event;Extreme flood;Extreme flood impact;Extreme flood impacts;flood;Floods;Influence of applied parameter;Influence of applied parameters;Motor transportation;network analysis;Network analysis;Network security;road;Road network;Roads and streets;Shortest travel time;travel time;Travel time;vulnerability;Vulnerability assessments,,
rayyan-389728323,Critical infrastructure impact assessment due to flood exposure,2018,3,1,JOURNAL OF FLOOD RISK MANAGEMENT,1753-318X,11,1,22-33,"Pant, R and Thacker, S and Hall, JW and Alderson, D and Barr, S",,,,,"Critical national infrastructures, including energy, transport, digital communications, and water, are prone to flood damage. Their geographical extent is a determinant of, and is determined by, patterns of human development, which is often concentrated in floodplains. It is important to understand how infrastructure systems react to large-scale flooding. In this paper, we present an integrated framework for critical infrastructure flood impact assessment. Within this integrated framework, we represent interdependent infrastructure assets through spatial network models. We quantify infrastructure flood impacts in terms of disrupted customers linked directly to flood assets and customers disrupted indirectly due to network effects. The analysis shows how spatial network models inform flood risk management practitioners to identify and compare critical infrastructures risks on flooded and non-flooded land, for prioritising flood protection investments and improve resilience of cities. A case study of the Thames catchment in England is presented, which contains key infrastructure assets and highest population concentrations in United Kingdom.","RAYYAN-INCLUSION: {""Xuhui""=>""Included""} | RAYYAN-LABELS: impact,network,infrastructure,m:networkDemand | USER-NOTES: {""Xuhui""=>[""- quantify infrastructure flood impacts in terms of disrupted customers linked directly to flood assets and customers disrupted indirectly due to network effects\n- focus on the risk analysis/impact of infrastructure"", ""方法：网格需求法\n描述：首先构造不同层次的节点，source（设施位置），intermediate（过程），sink（人口位置）。基于人口密度图和基础设施位置做泰森多边形，得出每个设施需要服务的人口数。基于人口点位和设施位置，寻找之间的最短路径（需要注意设施可提供的最大值。如果超过最大值，找最近设施），然后把对应的需求量累加到source上。在就近设施里，可以把一些直接需求映射到周边source，得到indirect customer demand（到底哪一些是indirect disruption，文章没说清楚怎么算）。当淹没图和基础设施的几何图形相交时，则算为基础设施崩溃。\n目的：算出，灾害来了之后，基础设施网络崩溃带来的直接或间接影响\n补充：基础设施的组合（电，水，垃圾，飞机放在一起算），算法在System-of-systems formulation and disruption analysis for multi-scale critical national infrastructures\n""]}",10.1111/jfr3.12288,"",,
rayyan-389728324,Characterization of the Vulnerability of Road Networks to Fluvial Flooding Using Network Percolation Approach,2019,,,"COMPUTING IN CIVIL ENGINEERING 2019: SMART CITIES, SUSTAINABILITY, AND RESILIENCE",978-0-7844-8244-5,,,428-435,"Abdulla, B and Mostafavi, A and Birgisson, B and Cho, YK and Leite, F and Behzadan, A and Wang, C",,,,,"The objective of this paper is to model and characterize the percolation dynamics in road networks during a major fluvial flooding event. First, a road system is modelled as planar graph, then, using the level of co-location interdependency with flood control infrastructure as a proxy to the flood vulnerability of the road networks, it estimated the extent of disruptions each neighborhood road network experienced during a flooding event. Second, percolation mechanism in the road network during the flood is captured by assigning different removal probabilities to nodes in road network according to a Bayesian rule. Finally, temporal changes in road network robustness were obtained for random and weighted-adjusted node-removal scenarios. The proposed method was applied to road flooding in a super neighborhood in Houston during hurricane Harvey. The result shows that, network percolation due to fluvial flooding, which is modelled with the proposed Bayes rule based node-removal scheme, causes the decrease in the road network connectivity at varying rate.","RAYYAN-INCLUSION: {""Xuhui""=>""Included""} | RAYYAN-LABELS: road,network,robustness,vulnerability,m:connectivity,m:network metrics | USER-NOTES: {""Xuhui""=>[""- a road system is modeled as a planar graph, \n- using the level of co-location interdependency with flood control infrastructure as a proxy to the flood vulnerability of the road networks, it estimated the extent of disruptions each neighborhood road network experienced during a flooding event(focus on the neighborhood). \n- percolation mechanism in the road network during the flood is captured by assigning different removal probabilities to nodes in the road network according to a Bayesian rule. \n- temporal changes in road network robustness were obtained for random and weighted-adjusted node-removal scenarios."", ""方法：基础网格指标法\n描述：通过传染病扩散模型，研究路网遇到洪水后的扩散现象。基于不同中心性数值，对不同路段进行断开，研究断开后的路网连接性（巨连通集大小的思路）\n目的：通过移除道路，得到网络的robustness变化\n补充：为什么要随机选或者按照中心性高的断，找些可能会被淹的，且中心性高的断，不好吗？""]}",,"",,
rayyan-389728325,Flood risk assessment and coping capacity of floods in central Vietnam,2017,3,1,JOURNAL OF HYDRO-ENVIRONMENT RESEARCH,1570-6443,14,,44-60,"Vu, TT and Ranzi, R",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988850982&doi=10.1016%2fj.jher.2016.06.001&partnerID=40&md5=aaf3a0901729188c5037dc21f452d946,,,,"In the perspective of improving and disseminating risk assessment methodologies and rise preparedness of people to flood hazard this paper presents flood hazard maps estimated in the Quang Ngai province, in central Vietnam, for different return periods in terms of depth, duration and velocity using the FLO-2D, hydrodynamic model with a 90 m x 90 m resolution grid. Then, based on the vulnerability functions determined from field surveys and the feedback to 400 questionnaires distributed to people regarding residential areas, paddy rice, road networks and the number of deaths and injuries, the total amount of tangible and intangible damage at each point in the study area is estimated and mapped, indicating risk levels and expected annual damage in case of flooding. The resulting damage functions are quite different from others available in the literature, as a result of the adaptive capacity and the resilience of the population to floods in the investigated area. Damage functions to buildings, agricultural areas, road infrastructures and people are normalised with respect to mean flooding depth and flooding hazard so that they can be generalized to areas with similar geographical conditions. In this way, a more comprehensive knowledge on the negative effects of floods is carried out, providing an important input to flood management plans in order to mitigate flood damage in tropical areas similar to the Quang Ngai province. (C) 2016 International Association for Hydro-environment Engineering and Research, Asia Pacific Division. Published by Elsevier B.V. All rights reserved.","<p>Export Date: 16 November 2022</p>
<p>Export Date: 16 November 2022</p>
<p>Export Date: 21 November 2022</p> | RAYYAN-INCLUSION: {""Xuhui""=>""Included""} | RAYYAN-LABELS: road,impact,m:cost,flood model,vulnerability,m:questionnaire | USER-NOTES: {""Xuhui""=>[""- flow model\n- use vulnerbility function and questionnaire to collect the impact of flood\n- focus on the damage function"", ""方法：问卷法和成本函数\n描述：使用问卷法，对受灾群众的受灾内容进行界定。然后根据成本函数和洪水淹没时长，估算遇难的人数，受灾的水稻，访问和路网的维修费用（路网就是直接看浸泡、侵蚀程度）\n目的：预估洪水带来的经济损失\n""]}",10.1016/j.jher.2016.06.001,coping strategy;disaster management;Expected annual damages;FLO-2D;Flood control;flood damage;Flood damage;Flood hazard;Flood hazards;Flood risk;Flood risk assessments;Flood risks;flooding;Floods;Geographical conditions;hazard assessment;Hazards;hydrodynamics;mapping;Pitting;questionnaire survey;risk assessment;Risk assessment;Risk assessment methodologies;Risk perception;Road infrastructures;Roads and streets;Surveys;Viet Nam;Vietnam;Risk Assessment,,
rayyan-389728326,Vulnerability Assessment in Co-Located Flood Control and Transportation Networks,2020,,,CONSTRUCTION RESEARCH CONGRESS 2020: INFRASTRUCTURE SYSTEMS AND SUSTAINABILITY,978-0-7844-8285-8,,,751-760,"Farahmand, H and Dong, SJ and Mostafavi, A and ElAsmar, M and Tang, P and Grau, D",,,,,"The objective of this paper is to investigate the interdependent transportation-flood control infrastructure vulnerability in the face of the fluvial flooding. A percolation simulation tool is employed to evaluate the flood-disrupted network functionality. First, a spatio-topological analysis is performed to model flood control infrastructure as a channel network and assess the vulnerability of the channels. Second, transportation infrastructure is modeled as a network of roads and inundation probabilities are estimated using their distance to the nearest channel together with the vulnerability of the channel. Finally, the post-flooding functionality of the road network is evaluated using graph-based measures. The framework is tested on a combined watershed in Harris County, Texas. Results show that failure of 10% of roads leads to a considerable loss of functionality in the road network. There are clusters of inundated roads in areas where the high density of development is concentrated around channels. The flood inundation also induces secondary impact by isolating the cluster of roads from the giant component. Such indirect connectivity disruption generally occurs in the areas with lower redundancy. The proposed framework provides an effective tool to inform the collaborative decision-making of flood control and transportation agencies to ensure network accessibility and better prepare the community for future flood hazards.","<p>Export Date: 16 November 2022</p>
<p>Export Date: 16 November 2022</p> | RAYYAN-INCLUSION: {""Xuhui""=>""Included""} | RAYYAN-LABELS: road,network,vulnerability,m:connectivity,m:network metrics | USER-NOTES: {""Xuhui""=>[""- a model that use perception to evaluate the connectivity of network\n- a spatio-topological analysis is performed to model flood control infrastructure as a channel network and assess the vulnerability of the channels.\n- transportation infrastructure is modeled as a network of roads and inundation probabilities are estimated using their distance to the nearest channel together with the vulnerability of the channel.\n- the post-flooding functionality of the road network is evaluated using graph-based measures."", ""方法：基础网络指标法\n描述：把洪水网络图和交通路网图相叠，去掉直接接触到的路网，视为直接影响。然后用渗流法（巨连通集的大小），看看有多少路网会断开，视为间接影响。\n目的：网络的vulnerability\n""]}",,Collaborative decision making;Control infrastructures;Decision making;Flood control;Floods;Graphic methods;Network functionality;Network security;Roads and streets;Solvents;Sustainable development;Topological analysis;Topology;Transportation agencies;Transportation infrastructures;Transportation network;Vulnerability assessments,,
